>98,77,-6.85801,107.53848,788
>99,77,316.17001,0,1476716357000
>98,78,-6.85801,107.53848,788
>99,78,316.17001,0,1476716358000
>98,79,-6.85801,107.53848,788
>99,79,316.17001,0,1476716359000
>98,80,-6.85801,107.53848,788
>99,80,316.17001,0,1476716360000
>98,81,-6.85801,107.53848,788
>99,81,316.17001,0,1476716362000
>98,82,-6.85801,107.53848,788
>99,82,316.17001,0,1476716364000
>98,83,-6.85801,107.53848,788
>99,83,316.17001,0,1476716365000
>98,84,-6.85801,107.53848,788
>99,84,316.17001,0,1476716366000
>98,85,-6.85801,107.53848,788
>99,85,316.17001,0,1476716368000
>98,86,-6.85801,107.53848,788
>99,86,316.17001,0,1476716369000
>98,87,-6.85811,107.53848,787.9
>99,87,193.33,0,1476716371000
>98,88,-6.85812,107.53847,788
>99,88,191.67,0,1476716372000
>98,89,-6.85814,107.53847,787.9
>99,89,194.39,0,1476716374000
>98,90,-6.85814,107.53847,787.9
>99,90,194.39,0,1476716375000
>98,91,-6.85814,107.53847,787.9
>99,91,194.39,0,1476716377000
>98,92,-6.85814,107.53847,787.9
>99,92,194.39,0,1476716378000
>98,93,-6.85814,107.53847,787.9
>99,93,194.39,0,1476716380000
>98,94,-6.85814,107.53847,787.9
>99,94,194.39,0,1476716382000
>98,95,-6.85814,107.53847,787.9
>99,95,194.39,0,1476716384000
>98,96,-6.85814,107.53847,787.9
>99,96,194.39,0,1476716386000
>98,97,-6.85814,107.53847,787.9
>99,97,194.39,0,1476716387000
>98,98,-6.85814,107.53847,787.9
>99,98,194.39,0,1476716389000
>98,99,-6.85814,107.53847,787.9
>99,99,194.39,0,1476716390000
>98,100,-6.85814,107.53847,787.9
>99,100,194.39,0,1476716391000
>98,101,-6.85814,107.53847,787.9
>99,101,194.39,0,1476716393000
>98,102,-6.8582,107.5385,787.6
>99,102,144.88,0,1476716395000
>98,103,-6.85821,107.53852,787.7
>99,103,142.25,0,1476716396000
>98,104,-6.85822,107.53852,787.8
>99,104,212.92999,0,1476716398000
>98,105,-6.85823,107.53853,787.8
>99,105,158.83,0,1476716400000
>98,106,-6.85823,107.53853,787.8
>99,106,190.83,0,1476716401000
>98,107,-6.85824,107.53853,787.8
>99,107,205.75999,0,1476716402000
>98,108,-6.85823,107.53852,787.8
>99,108,310.32999,0,1476716404000
>98,109,-6.85823,107.53852,787.8
>99,109,91.85,0,1476716405000
>98,110,-6.85823,107.53852,787.8
>99,110,91.85,0,1476716406000
>98,111,-6.85823,107.53852,787.8
>99,111,91.85,0,1476716407000
>98,112,-6.85823,107.53852,787.8
>99,112,91.85,0,1476716408000
>98,113,-6.85823,107.53852,787.8
>99,113,91.85,0,1476716410000
>98,114,-6.85823,107.53852,787.8
>99,114,91.85,0,1476716411000
>98,115,-6.85823,107.53852,787.8
>99,115,91.85,0,1476716413000
>98,116,-6.8582,107.53852,788
>99,116,22.89,0,1476716414000
>98,117,-6.8582,107.53853,788.1
>99,117,207.7,0,1476716416000
>98,118,-6.8582,107.53853,788.1
>99,118,270.60001,0,1476716418000
>98,119,-6.8582,107.53853,788.1
>99,119,270.60001,0,1476716420000
>98,120,-6.8582,107.53853,788.1
>99,120,270.60001,0,1476716422000
>98,121,-6.8582,107.53853,788.1
>99,121,270.60001,0,1476716423000
>98,122,-6.8582,107.53853,788.1
>99,122,270.60001,0,1476716424000
>98,123,-6.8582,107.53853,788.1
>99,123,270.60001,0,1476716426000
